Scientific Name,Accepted Symbol
Vachellia hebeclada,"ACHE8,VAHE2"
Acacia hemiteles,ACHE12
Acacia graffiana,ACHE12
Acacia holosericea,ACHO2
Acacia horrida,"ACHO4,VAHO"
Acacia horrida,"ACHO4,VAHO"
Vachellia horrida,"ACHO4,VAHO"
Acacia howittii,ACHO5
Acacia imbricata,ACIM4
Acacia implexa,ACIM5
Acacia irrorata,ACIR
Acacia iteaphylla,ACIT2
Acacia ixiophylla,ACIX2
Acacia jibberdingensis,ACJI
Acacia jonesii,ACJO2
Acacia karroo,"ACKA2,VAKA"
Acacia karroo,"ACKA2,VAKA"
Vachellia karroo,"ACKA2,VAKA"
Acacia koa,ACKO
Acacia kauaiensis,ACKO
Acacia koa var. hawaiiensis,ACKO
Acacia koa var. lanaiensis,ACKO
Acacia koa var. waimeae,ACKO
Acacia koaia,ACKO2
Acacia lanuginophylla,ACLA10
Acacia lanuginosa,ACLA10
Acacia lasiocalyx,ACLA6
Acacia leiophylla,ACLE7
Acacia ligulata,ACLI8
Acacia lineata,ACLI5
Acacia longifolia,ACLO
Acacia latifolia,ACLO
Acacia longifolia ssp. sophorae,ACLOS3
Acacia longifolia var. sophorae,ACLOS3
Acacia longissima,ACLO8
Acacia linearis,ACLO8
Acacia macracantha,"ACMA,VAMA4"
Acacia macracantha,"ACMA,VAMA4"
Vachellia macracantha,"ACMA,VAMA4"
Acacia maidenii,ACMA11
Acacia mangium,ACMA12
Acacia mearnsii,ACME80
Acacia decurrens var. mollis,ACME80
Acacia melanoxylon,ACME
Acacia mellifera,"ACME8,SEME9,ACMED"
Acacia mellifera,"ACME8,SEME9,ACMED"
Senegalia mellifera,"ACME8,SEME9,ACMED"
Acacia detinens,"ACME8,SEME9,ACMED"
Acacia mellifera ssp. detinens,"ACME8,SEME9,ACMED"
Senegalia mellifera,"ACME8,SEME9,ACMED"
Senegalia mellifera ssp. detinens,"ACME8,SEME9,ACMED"
Acacia mellifera ssp. detinens,"ACME8,SEME9,ACMED"
Acacia merrallii,ACME6
Acacia microbotrya,ACMI5
Acacia microcarpa,ACMI6
Acacia millefolia,"ACMI,MAMI9"
Acacia millefolia,"ACMI,MAMI9"
Mariosousa millefolia,"ACMI,MAMI9"
Acacia montana,ACMO9
Acacia mucronata,ACMU6
Acacia multispicata,ACMU7
Acacia muricata,"ACMU,SEMU4"
Acacia muricata,"ACMU,SEMU4"
Senegalia muricata,"ACMU,SEMU4"
Mimosa muricata,"ACMU,SEMU4"
Acacia myrtifolia,ACMY2
Acacia neovernicosa,"ACNE4,VAVE"
Acacia neovernicosa,"ACNE4,VAVE"
Vachellia vernicosa,"ACNE4,VAVE"
Acacia constricta var. vernicosa,"ACNE4,VAVE"
Acacia vernicosa,"ACNE4,VAVE"
Acaciopsis vernicosa,"ACNE4,VAVE"
Acacia neriifolia,ACNE8
Acacia nigrescens,"ACNI8,SENI4"
Acacia nigrescens,"ACNI8,SENI4"
